"","FROM","TO","default_sign_conn_score"
"653","CTLA4","CNR1",11308.550873088
"654","CTLA4","ACTG2",-321.94176
"655","CTLA4","NKX3.1",6068.16
"656","CTLA4","CTNNB1",-11760
"657","CTLA4","FN1",-4939.2
"658","CTLA4","BSG",-1391.4432
"659","CTLA4","LORICRIN",-5868.24
"660","CTLA4","JUNB",3433.92
"661","CTLA4","MUC2",1505.28
"662","CTLA4","ESPL1",20535.99408
"663","CTLA4","RUNX1",-9737.28
"664","CTLA4","PTPRC",-880.40064
"665","CTLA4","KRT18",-8487.33312
"666","CTLA4","DDX5",-7823.25768
"667","CTLA4","INCENP",-20258.70504
"668","CTLA4","CCL5",3935.3664
"669","CTLA4","CACNA1H",2352
"670","CTLA4","PLAU",-1075.61664
"671","CTLA4","HSPA1A",-4257.4728
"672","CTLA4","CTSD",3292.8
"673","CTLA4","IFITM3",-2373.6384
"674","CTLA4","KRT8",4410
"675","CTLA4","EEF1A1",-3116.4
"676","CTLA4","LGALS3",4045.44
"677","CTLA4","GNAL",4845.12
"678","CTLA4","GNAO1",-4210.08
"679","CTLA4","WNT2B",208.137888
"680","CTLA4","PTGER3",-11308.550873088
"681","CTLA4","EDNRA",-1117.985568
"682","CTLA4","HTR2B",-2230.4636928
"683","CTLA4","WT1",693.84
"684","CTLA4","PAX2",-428.09928
"685","NFE2L2","PRKCD",4297.70798699
